iter	Passed	Remaining
0	163	48804
1	166	24880
2	170	16900
3	174	12928
4	179	10598
5	184	9023
6	188	7885
7	191	6982
8	194	6302
9	198	5763
10	202	5331
11	205	4941
12	209	4614
13	212	4343
14	216	4122
15	221	3938
16	226	3766
17	230	3616
18	235	3476
19	240	3363
20	243	3241
21	248	3134
22	251	3023
23	254	2924
24	258	2844
25	263	2772
26	268	2715
27	272	2645
28	276	2584
29	281	2529
30	284	2466
31	288	2412
32	291	2358
33	296	2319
34	300	2276
35	303	2228
36	307	2185
37	311	2145
38	315	2113
39	321	2087
40	325	2057
41	330	2029
42	335	2005
43	339	1978
44	343	1948
45	349	1929
46	353	1900
47	357	1875
48	362	1856
49	366	1833
50	372	1818
51	377	1802
52	383	1787
53	388	1771
54	392	1747
55	396	1727
56	400	1709
57	403	1685
58	407	1664
59	410	1643
60	415	1626
61	419	1611
62	425	1600
63	429	1584
64	433	1568
65	438	1554
66	442	1538
67	446	1522
68	450	1509
69	455	1496
70	458	1479
71	462	1465
72	466	1450
73	471	1439
74	475	1427
75	479	1412
76	483	1400
77	487	1388
78	491	1375
79	495	1362
80	498	1348
81	503	1337
82	506	1323
83	510	1312
84	517	1308
85	521	1297
86	525	1285
87	528	1273
88	532	1261
89	535	1250
90	539	1238
91	542	1226
92	545	1215
93	550	1205
94	553	1195
95	557	1184
96	562	1176
97	565	1166
98	569	1155
99	572	1144
100	576	1135
101	580	1125
102	584	1117
103	588	1108
104	592	1100
105	595	1090
106	598	1079
107	602	1071
108	608	1065
109	613	1058
110	617	1051
111	621	1043
112	624	1033
113	653	1065
114	657	1057
115	660	1047
116	663	1038
117	668	1030
118	672	1022
119	676	1014
120	680	1006
121	684	998
122	687	989
123	690	979
124	693	971
125	697	963
126	701	954
127	704	946
128	708	939
129	713	933
130	717	925
131	721	917
132	724	910
133	728	902
134	732	895
135	735	887
136	739	880
137	743	873
138	747	865
139	750	858
140	755	851
141	775	862
142	779	855
143	782	847
144	786	840
145	789	832
146	792	825
147	796	817
148	799	810
149	803	803
150	807	797
151	817	795
152	821	789
153	825	783
154	829	776
155	833	769
156	837	762
157	841	755
158	844	748
159	847	741
160	852	735
161	858	731
162	863	725
163	870	721
164	875	716
165	879	710
166	883	703
167	888	698
168	892	692
169	897	686
170	902	680
171	908	675
172	912	669
173	916	663
174	920	657
175	924	651
176	927	644
177	931	638
178	936	632
179	940	626
180	945	621
181	951	616
182	955	610
183	958	604
184	963	598
185	967	592
186	971	586
187	974	580
188	978	574
189	982	568
190	985	562
191	989	556
192	993	550
193	997	545
194	1002	539
195	1005	533
196	1009	527
197	1013	521
198	1016	516
199	1021	510
200	1025	505
201	1028	499
202	1032	493
203	1037	488
204	1041	482
205	1045	477
206	1049	471
207	1053	466
208	1057	460
209	1061	454
210	1064	449
211	1069	444
212	1073	438
213	1077	432
214	1081	427
215	1085	422
216	1089	416
217	1092	410
218	1097	405
219	1102	400
220	1106	395
221	1110	390
222	1113	384
223	1117	379
224	1120	373
225	1124	368
226	1128	362
227	1131	357
228	1135	352
229	1139	346
230	1143	341
231	1147	336
232	1150	330
233	1155	325
234	1158	320
235	1162	315
236	1166	310
237	1170	305
238	1174	299
239	1177	294
240	1181	289
241	1185	284
242	1189	279
243	1197	274
244	1202	270
245	1207	265
246	1210	259
247	1214	254
248	1217	249
249	1221	244
250	1225	239
251	1228	234
252	1232	228
253	1236	223
254	1240	218
255	1244	213
256	1248	208
257	1252	203
258	1256	198
259	1259	193
260	1263	188
261	1267	183
262	1271	178
263	1274	173
264	1278	168
265	1282	163
266	1286	159
267	1291	154
268	1295	149
269	1299	144
270	1303	139
271	1307	134
272	1311	129
273	1315	124
274	1319	119
275	1324	115
276	1327	110
277	1332	105
278	1336	100
279	1340	95
280	1343	90
281	1346	85
282	1350	81
283	1353	76
284	1357	71
285	1361	66
286	1365	61
287	1368	57
288	1371	52
289	1376	47
290	1382	42
291	1386	37
292	1391	33
293	1394	28
294	1398	23
295	1402	18
296	1406	14
297	1410	9
298	1414	4
299	1418	0
